profile_id,user_id,username,avatar_url,genre1,genre2,genre3,goals,experience,url1,url2,url3,production,vocals,liveinstrumentation,mixingandmastering,similar
2,1118,test1@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,hiphop,electronic,acoustic,2,8,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,1,1,1,1,Chance the Rapper
3,1119,test2@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,hiphop,pop,rock,2,9,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,1,1,1,1,Chance the Rapper
4,1120,test3@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,all,indie,acoustic,2,7,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,1,1,1,0,Chance the Rapper
5,1121,test4@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,all,hiphop,rock,2,7,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,0,1,1,1,Chance the Rapper
6,1122,test5@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,pop,hiphop,electronic,2,9,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,1,1,1,0,Chance the Rapper
7,1123,test6@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,rb,hiphop,pop,2,7,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,1,1,1,0,Chance the Rapper
8,1124,test7@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,hiphop,indie,pop,2,5,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,0,1,1,1,Chance the Rapper
9,1125,test8@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,hiphop,indie,electronic,3,8,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,0,1,1,1,Chance the Rapper
10,1126,test9@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,hiphop,indie,rock,2,12,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,0,1,0,0,Chance the Rapper
11,1127,test10@gmail.com,https://pbs.twimg.com/profile_images/634782560032198656/u_ivPxyN.jpg,acoustic,hiphop,electronic,2,10,https://soundcloud.com/chancetherapper/good-ass-intro-ft-bj-the?in=chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,https://soundcloud.com/chancetherapper/sets/chance-the-rapper-acid-rap,0,1,1,1,Chance the Rapper
